DETAILED TRIAL RESULTS - bayesian_tuning
==================================================
Objective: Minimize Averge Energy 

Trial  | Time(s)  | Avg Energy  | Perplexity  | Combined Loss | n_embed | block_size | heads | blocks | Ts(E/A/LA/F1/F2/O)   | LR       | Warmup | Dropout | Bias 
37     | 341.0    | 0.712997    | 1165.7198   | 0.712997    | 144     | 320        | 4     | 12     | 8/14/8/13/3/4        |1.04e-04 | 205    | 0.079   | True 
38     | 11.5     | 0.735242    | 1195.9597   | 0.735242    | 208     | 480        | 4     | 1      | 5/5/5/10/5/3         |3.81e-05 | 141    | 0.115   | False
39     | 10.3     | 0.679465    | 1205.9967   | 0.679465    | 96      | 304        | 2     | 1      | 3/3/9/13/9/3         |2.42e-05 | 283    | 0.238   | False
40     | 219.1    | 0.722890    | 502.8998    | 0.722890    | 320     | 224        | 5     | 11     | 12/3/11/5/7/10       |4.17e-04 | 97     | 0.163   | True 
41     | 20.9     | 0.585495    | 834.0614    | 0.585495    | 64      | 400        | 2     | 2      | 13/3/7/11/13/3       |4.95e-03 | 87     | 0.034   | False
42     | 12.3     | 0.509443    | 772.6783    | 0.509443    | 80      | 496        | 2     | 1      | 13/3/8/13/13/3       |5.39e-03 | 55     | 0.030   | False
43     | 72.0     | 0.629358    | 778.8552    | 0.629358    | 80      | 352        | 2     | 4      | 13/10/6/10/13/3      |5.08e-03 | 56     | 0.032   | False
44     | 27.1     | 0.616800    | 825.2249    | 0.616800    | 64      | 496        | 2     | 3      | 10/3/7/9/12/3        |5.75e-03 | 72     | 0.023   | False
45     | 13.5     | 0.616379    | 55.2875     | 0.616379    | 128     | 496        | 2     | 1      | 13/4/10/6/13/12      |6.45e-03 | 58     | 0.114   | False
46     | 82.2     | 3.211045    | 14.2752     | 3.211045    | 400     | 272        | 8     | 2      | 11/3/6/12/10/8       |4.11e-03 | 77     | 0.089   | False
47     | 97.1     | 0.696877    | 772.0783    | 0.696877    | 176     | 400        | 2     | 8      | 9/4/7/4/13/3         |2.41e-03 | 180    | 0.374   | False
48     | 30.8     | 1.004162    | 742.9448    | 1.004162    | 80      | 336        | 2     | 3      | 13/3/8/13/11/3       |9.96e-03 | 113    | 0.070   | False
49     | 10.2     | 0.621520    | 873.3968    | 0.621520    | 128     | 512        | 2     | 1      | 4/3/5/11/12/4        |5.09e-03 | 1991   | 0.023   | False
50     | 15.7     | 0.615724    | 915.7406    | 0.615724    | 80      | 384        | 2     | 2      | 12/4/3/10/5/3        |1.94e-03 | 69     | 0.040   | False
51     | 13.2     | 0.593371    | 1100.9688   | 0.593371    | 112     | 432        | 4     | 1      | 12/3/10/13/11/4      |2.64e-04 | 96     | 0.085   | False
